id,qr_code_uid,qr_code_name
B001270-capitol,2017/03/18/1bdofe3y8d_B001270_capitol.png,B001270-capitol.png
B001257-capitol,2017/03/18/2vukcx7zlw_B001257_capitol.png,B001257-capitol.png
A000055-capitol,2017/03/18/b6sj37ohb_A000055_capitol.png,A000055-capitol.png
T000464-capitol,2017/03/18/953cx5gn20_T000464_capitol.png,T000464-capitol.png
C000567-capitol,2017/03/18/4odh7tnwzw_C000567_capitol.png,C000567-capitol.png
M000355-capitol,2017/03/18/7bz7kj1lu1_M000355_capitol.png,M000355-capitol.png
B001230-capitol,2017/03/18/7izqnqeo59_B001230_capitol.png,B001230-capitol.png
R000584-capitol,2017/03/18/izbg7yk15_R000584_capitol.png,R000584-capitol.png
G000555-capitol,2017/03/18/3vvrwvbzsm_G000555_capitol.png,G000555-capitol.png
C001070-capitol,2017/03/18/1ynnt1cnwn_C001070_capitol.png,C001070-capitol.png
K000367-capitol,2017/03/18/3wkhpe4szk_K000367_capitol.png,K000367-capitol.png
M000639-capitol,2017/03/18/7ii52enawk_M000639_capitol.png,M000639-capitol.png
S000770-capitol,2017/03/18/5mj6weqxff_S000770_capitol.png,S000770-capitol.png
W000802-capitol,2017/03/18/2jiwaboph7_W000802_capitol.png,W000802-capitol.png
B001261-capitol,2017/03/18/2e0yiiq9wc_B001261_capitol.png,B001261-capitol.png
C001035-capitol,2017/03/18/8f9q05xuiv_C001035_capitol.png,C001035-capitol.png
C001056-capitol,2017/03/18/1vyx1sp2jo_C001056_capitol.png,C001056-capitol.png
I000024-capitol,2017/03/18/4v69krtasw_I000024_capitol.png,I000024-capitol.png
M001176-capitol,2017/03/18/w1bon1lov_M001176_capitol.png,M001176-capitol.png
S001181-capitol,2017/03/18/3q2u2y39ov_S001181_capitol.png,S001181-capitol.png
F000457-capitol,2017/03/18/96dud9vcwl_F000457_capitol.png,F000457-capitol.png
M001183-capitol,2017/03/18/56dult4008_M001183_capitol.png,M001183-capitol.png
A000367-capitol,2017/03/18/4k2ld5sopk_A000367_capitol.png,A000367-capitol.png
B000944-capitol,2017/03/18/21ksu5wlsa_B000944_capitol.png,B000944-capitol.png
C001071-capitol,2017/03/18/4owxmzks90_C001071_capitol.png,C001071-capitol.png
C000174-capitol,2017/03/18/97t1kg0wej_C000174_capitol.png,C000174-capitol.png
S000033-capitol,2017/03/18/4knnpmw648_S000033_capitol.png,S000033-capitol.png
R000122-capitol,2017/03/18/5ytp6lmjsu_R000122_capitol.png,R000122-capitol.png
C000127-capitol,2017/03/18/44yg6cyroq_C000127_capitol.png,C000127-capitol.png
B000575-capitol,2017/03/18/70obusw0yn_B000575_capitol.png,B000575-capitol.png
B001236-capitol,2017/03/18/6jmowbgkil_B001236_capitol.png,B001236-capitol.png
B001227-capitol,2017/03/18/5dtsjb1so4_B001227_capitol.png,B001227-capitol.png
B001274-capitol,2017/03/18/3d2r258z4x_B001274_capitol.png,B001274-capitol.png
B001135-capitol,2017/03/18/mqocjg0zc_B001135_capitol.png,B001135-capitol.png
C001037-capitol,2017/03/18/80c18esmxl_C001037_capitol.png,C001037-capitol.png
C001075-capitol,2017/03/18/18uv4y0rmo_C001075_capitol.png,C001075-capitol.png
C001066-capitol,2017/03/18/9gkunt8v2_C001066_capitol.png,C001066-capitol.png
